Date,weighted_score_mean,weighted_score_std,weighted_score_min,weighted_score_max,weighted_score_sum,composite_score_mean,composite_score_std,confidence_mean,confidence_min,importance_sum,bullish_signal_sum,bearish_signal_sum,finbert_score_mean,vader_score_mean,keyword_score_mean,Headlines_count,net_sentiment,sentiment_intensity,news_volume,sentiment_range
2023-10-03,-0.1547,0.2194,-0.3623,0.0749,-0.4641,-0.1547,0.2194,0.9221,0.845,3.0,0,2,-0.0262,-0.208,-0.3333,3,-2,0.1547,3,0.43720000000000003
2023-10-04,0.1213,0.203,-0.0995,0.3892,0.4853,0.1213,0.203,0.7852,0.5077,4.0,1,0,0.2236,0.0477,0.0,4,1,0.1213,4,0.4887
2023-10-05,0.0912,0.2207,-0.1875,0.352,0.3646,0.0912,0.2207,0.9096,0.8379,4.0,1,1,0.2302,-0.1198,0.0,4,0,0.0912,4,0.5395
2023-10-06,-0.3358,0.3228,-0.5848,0.029,-1.0074,-0.3358,0.3228,0.8376,0.7548,3.0,0,2,-0.5081,0.0912,-0.3333,3,-2,0.3358,3,0.6138
2023-10-09,-0.2507,,-0.2507,-0.2507,-0.2507,-0.2507,,0.7768,0.7768,1.0,0,1,-0.7139,-0.9686,1.0,1,-1,0.2507,1,0.0
2023-10-10,-0.0104,0.1621,-0.125,0.1041,-0.0209,-0.0104,0.1621,0.5633,0.5299,2.0,0,0,-0.2347,0.5104,0.0161,2,0,0.0104,2,0.2291
2023-10-11,-0.1727,0.2269,-0.3357,0.0864,-0.5182,-0.1727,0.2269,0.9029,0.8289,3.0,0,2,-0.5576,0.5596,-0.0196,3,-2,0.1727,3,0.42210000000000003
2023-10-12,-0.0921,0.3784,-0.5924,0.4376,-0.4603,-0.0921,0.3784,0.8008,0.4827,5.0,1,3,-0.0733,-0.0923,-0.1231,5,-2,0.0921,5,1.03
2023-10-13,-0.0235,0.3346,-0.3601,0.5455,-0.1412,-0.0235,0.3346,0.7153,0.4691,6.0,1,2,-0.3151,0.157,0.3421,6,-1,0.0235,6,0.9056
2023-10-16,-0.0404,0.2514,-0.4289,0.1982,-0.2018,-0.0404,0.2514,0.7334,0.5594,5.0,2,1,-0.015,-0.1643,0.0,5,1,0.0404,5,0.6271
2023-10-17,-0.1561,0.1487,-0.3195,-0.0289,-0.4683,-0.1561,0.1487,0.8228,0.6366,3.0,0,1,-0.3718,-0.3509,0.3333,3,-1,0.1561,3,0.2906
2023-10-18,-0.168,0.2354,-0.4394,-0.018,-0.504,-0.168,0.2354,0.8207,0.7035,3.0,0,1,-0.7019,0.4147,0.3333,3,-1,0.168,3,0.4214
2023-10-19,0.0378,0.4009,-0.2456,0.3213,0.0757,0.0378,0.4009,0.808,0.7533,2.0,1,1,-0.4922,0.6697,0.5,2,0,0.0378,2,0.5669
2023-10-20,-0.2001,0.2347,-0.5509,-0.0556,-0.8003,-0.2001,0.2347,0.9124,0.7714,4.0,0,1,-0.1711,-0.5726,0.0,4,-1,0.2001,4,0.49529999999999996
2023-10-23,-0.1816,0.0576,-0.2224,-0.1409,-0.3632,-0.1816,0.0576,0.8113,0.6676,2.0,0,1,-0.2382,-0.3126,0.0,2,-1,0.1816,2,0.08149999999999999
2023-10-25,-0.0554,0.0859,-0.1438,0.0277,-0.1661,-0.0554,0.0859,0.7502,0.6428,3.0,0,0,-0.4242,0.2837,0.3333,3,0,0.0554,3,0.1715
